frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
478,11.54,86.03,56.2,3,0,0,,,
479,11.6,85.6,58.8,3,0,0,,,
480,11.34,87.58,60.0,3,0,0,,,
481,11.57,85.79,61.1,3,0,0,,,
482,11.56,85.86,54.8,3,0,0,,,
483,11.64,85.32,60.0,3,0,0,,,
484,11.64,85.28,60.6,3,0,0,,,
485,11.6,85.63,57.6,3,0,0,,,
486,11.65,85.25,58.8,3,0,0,,,
487,11.65,85.27,57.6,3,0,0,,,
488,11.71,84.76,64.1,3,0,0,,,
489,11.62,85.45,57.6,3,0,0,,,
490,11.64,85.32,61.1,2,0,0,,,
491,11.59,85.68,58.1,2,0,0,,,
492,11.46,86.66,62.2,2,0,0,,,
493,11.64,85.34,63.2,2,0,0,,,
494,11.57,85.81,56.3,2,0,0,,,
495,11.63,85.4,60.0,3,2,1,0.888,HIGH,Person very close ahead
496,11.54,86.05,57.6,3,0,0,,,
497,11.66,85.2,58.1,1,0,0,,,
498,11.57,85.81,62.2,1,0,0,,,
499,11.58,85.78,58.8,1,0,0,,,
500,11.65,85.2,57.6,1,0,0,,,
501,11.49,86.46,62.2,2,0,0,,,
502,11.6,85.62,58.1,2,0,0,,,
503,11.62,85.49,57.6,2,0,0,,,
504,10.22,97.27,65.1,2,0,0,,,
505,11.23,88.25,62.9,3,1,1,0.768,HIGH,Person very close on your right
506,11.58,85.77,54.8,1,0,0,,,
507,11.65,85.22,58.8,1,0,0,,,
508,11.6,85.56,61.1,1,0,0,,,
509,11.27,88.05,61.1,1,0,0,,,
510,11.66,85.19,58.8,1,0,0,,,
511,11.55,85.99,56.3,1,0,0,,,
512,11.6,85.57,60.0,2,0,0,,,
513,11.5,86.38,56.3,2,0,0,,,
514,11.64,85.32,58.1,2,0,0,,,
515,11.37,87.35,61.1,2,0,0,,,
516,11.33,87.69,62.2,2,1,1,0.876,HIGH,Person very close on your left
517,11.57,85.81,62.2,2,0,0,,,
518,11.52,86.19,58.8,2,0,0,,,
519,11.58,85.75,62.9,2,0,0,,,
520,11.59,85.69,62.2,2,0,0,,,
521,11.58,85.77,57.6,2,0,0,,,
522,11.56,85.87,53.3,2,1,1,0.457,MEDIUM,chair on your right
523,11.61,85.57,63.2,2,0,0,,,
524,11.62,85.48,57.6,2,0,0,,,
525,11.57,85.84,60.0,2,0,0,,,
526,11.28,88.02,62.2,2,0,0,,,
527,11.6,85.63,61.1,2,0,0,,,
528,11.52,86.18,58.8,2,0,0,,,
529,11.55,85.95,60.0,2,0,0,,,
530,11.59,85.63,61.8,2,0,0,,,
531,11.58,85.72,57.6,2,0,0,,,
532,11.6,85.57,57.6,2,1,1,0.881,HIGH,Person very close ahead
533,11.62,85.49,63.2,2,0,0,,,
534,11.55,86.0,57.6,2,1,1,0.878,HIGH,Person very close on your left
535,11.66,85.16,57.6,2,0,0,,,
536,11.61,85.5,60.6,2,0,0,,,
537,11.6,85.61,60.0,2,0,0,,,
538,11.49,86.42,63.2,3,1,0,,,
539,11.63,85.42,60.0,2,0,0,,,
540,11.57,85.79,57.6,2,0,0,,,
541,11.68,85.04,64.9,2,0,0,,,
542,11.64,85.27,57.6,2,0,0,,,
543,11.67,85.08,62.2,2,0,0,,,
544,11.74,84.6,57.6,2,0,0,,,
545,11.6,85.6,63.2,2,0,0,,,
