frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
275,31.28,108.3,9.23,55.8,16.1,54.3,4,7,7,0,,
276,31.391,106.74,9.37,55.8,16.1,54.9,4,7,7,0,,
277,31.5,106.22,9.41,55.8,16.1,54.9,3,7,7,0,,
278,31.609,106.42,9.4,58.7,16.1,55.4,4,7,7,0,,
279,31.718,106.32,9.41,54.5,16.1,54.3,1,7,7,0,,
280,31.827,111.51,8.97,61.4,16.2,54.9,1,7,7,0,,
281,31.941,106.51,9.39,60.0,16.2,55.4,1,7,7,1,person ahead,position_changed
282,32.051,107.39,9.31,54.8,16.2,55.4,1,6,6,0,,
283,32.161,106.12,9.42,55.8,16.2,54.9,1,6,6,0,,
284,32.27,106.2,9.42,57.8,16.2,54.9,1,5,5,0,,
285,32.378,106.02,9.43,57.8,16.2,54.3,1,5,5,0,,
286,32.487,106.7,9.37,55.6,16.2,54.9,3,6,6,0,,
287,32.597,106.14,9.42,50.0,16.2,54.9,4,7,7,0,,
288,32.705,106.28,9.41,58.7,16.2,55.4,5,7,7,0,,
289,32.814,109.17,9.16,55.8,16.2,54.9,5,7,7,0,,
290,32.926,106.06,9.43,51.3,16.2,54.9,4,7,7,0,,
291,33.035,106.09,9.43,56.8,16.2,54.9,5,7,7,0,,
292,33.144,106.26,9.41,54.8,16.2,54.3,5,8,8,0,,
293,33.253,106.69,9.37,58.7,16.2,54.9,4,8,8,0,,
294,33.362,105.75,9.46,51.3,16.2,54.9,3,8,8,0,,
295,33.471,106.11,9.42,56.8,16.2,54.9,4,8,8,0,,
296,33.579,106.94,9.35,55.8,16.2,55.4,4,8,8,0,,
297,33.689,106.58,9.38,57.8,16.2,55.4,5,7,7,0,,
298,33.798,106.56,9.38,56.5,16.1,54.3,4,6,6,0,,
299,33.907,108.03,9.26,56.8,16.1,54.9,5,6,6,0,,
300,34.018,106.12,9.42,57.8,16.1,54.9,5,6,6,0,,
301,34.127,107.43,9.31,55.8,16.1,54.3,3,6,6,0,,
302,34.237,106.41,9.4,57.8,16.1,54.9,4,5,5,0,,
303,34.346,106.11,9.42,57.8,16.1,56.0,5,6,6,0,,
304,34.455,107.49,9.3,55.8,16.1,54.9,5,6,6,0,,
305,34.565,106.68,9.37,56.8,16.1,55.4,5,6,6,0,,
306,34.675,106.33,9.4,58.7,16.1,55.4,6,6,6,0,,
307,34.784,106.69,9.37,53.5,16.1,54.9,5,6,6,0,,
308,34.893,107.78,9.28,58.7,16.1,54.9,4,6,6,1,person on the right,new_object
309,35.004,107.54,9.3,54.8,16.1,55.4,3,6,6,0,,
310,35.114,106.81,9.36,54.8,16.1,55.4,4,7,7,0,,
311,35.223,107.54,9.3,55.8,16.1,54.9,3,7,7,0,,
312,35.334,106.24,9.41,54.8,16.1,55.4,3,7,7,0,,
313,35.443,106.16,9.42,57.8,16.1,55.4,2,7,7,0,,
314,35.551,105.81,9.45,55.8,16.1,54.9,1,7,7,0,,
315,35.66,106.33,9.4,52.5,16.1,54.9,1,7,7,0,,
316,35.769,106.57,9.38,58.7,16.1,55.4,1,7,7,0,,
317,35.878,107.71,9.28,57.8,16.1,53.8,4,7,7,0,,
318,35.989,106.12,9.42,54.8,16.1,55.4,3,7,7,1,person on the left,position_changed
319,36.097,106.88,9.36,53.7,16.1,55.4,5,7,7,0,,
320,36.207,106.09,9.43,55.8,16.1,55.4,5,8,8,0,,
321,36.316,106.57,9.38,54.8,16.1,55.4,4,8,8,0,,
322,36.425,106.98,9.35,57.8,16.1,54.9,4,8,8,0,,
323,36.535,107.24,9.32,55.8,16.1,55.4,5,8,8,0,,
324,36.645,105.64,9.47,55.8,16.1,55.4,4,7,7,0,,
325,36.753,116.09,8.61,60.8,16.1,56.0,4,7,7,0,,
326,36.872,107.37,9.31,58.7,16.1,54.9,4,7,7,0,,
327,36.982,105.94,9.44,53.7,16.1,54.9,3,7,7,0,,
328,37.091,106.26,9.41,56.8,16.1,55.4,3,6,6,0,,
329,37.2,106.81,9.36,56.8,16.1,56.0,3,6,6,0,,
330,37.309,106.75,9.37,57.8,16.1,55.4,4,6,6,0,,
331,37.419,106.29,9.41,57.8,16.1,55.4,4,6,6,0,,
332,37.528,106.57,9.38,58.7,16.1,56.0,4,6,6,0,,
333,37.637,106.11,9.42,54.8,16.1,56.0,4,7,7,0,,
334,37.746,106.25,9.41,57.8,16.1,55.4,3,7,7,0,,
335,37.855,107.22,9.33,54.8,16.1,56.0,3,7,7,0,,
336,37.966,106.24,9.41,57.8,16.1,55.4,4,7,7,0,,
337,38.074,105.88,9.44,55.6,16.1,56.0,3,7,7,0,,
338,38.183,105.46,9.48,54.8,16.1,56.0,3,7,7,0,,
339,38.291,106.15,9.42,52.5,16.1,55.4,3,7,7,0,,
340,38.4,105.88,9.44,57.8,16.1,55.4,2,7,7,0,,
341,38.509,106.83,9.36,56.8,16.1,56.0,1,6,6,0,,
342,38.618,105.51,9.48,53.7,16.1,54.3,1,6,6,0,,
343,38.726,105.74,9.46,57.8,16.1,56.0,1,6,6,1,person ahead,position_changed
344,38.835,107.15,9.33,59.1,16.1,55.4,1,4,4,0,,
345,38.945,106.15,9.42,57.8,16.1,56.0,1,4,4,0,,
346,39.054,105.8,9.45,57.8,16.1,56.0,1,4,4,0,,
