frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
291,33.008,106.12,9.42,56.8,16.1,55.4,1,2,2,0,,
292,33.116,106.94,9.35,56.8,16.1,54.3,1,2,2,0,,
293,33.226,105.61,9.47,54.8,16.1,54.3,1,2,2,0,,
294,33.334,105.31,9.5,54.8,16.1,54.9,1,2,2,0,,
295,33.442,105.29,9.5,54.8,16.1,54.9,1,2,2,0,,
296,33.55,105.38,9.49,56.8,16.1,55.4,1,2,2,0,,
297,33.658,105.31,9.5,58.7,16.1,54.3,1,1,1,0,,
298,33.766,105.23,9.5,56.8,16.1,54.9,1,1,1,0,,
299,33.874,105.51,9.48,58.7,16.1,54.3,1,1,1,0,,
300,33.982,105.34,9.49,57.8,16.1,54.3,1,1,1,0,,
301,34.09,107.18,9.33,54.8,16.1,55.4,2,2,2,1,person ahead,new_object
302,34.2,106.52,9.39,58.7,16.1,54.3,1,2,2,0,,
303,34.309,105.85,9.45,56.8,16.1,54.9,2,3,3,1,cup on the right,new_object
304,34.418,106.18,9.42,54.8,16.1,55.4,2,4,4,2,person on the left | cake on the left,position_changed | new_object
305,34.527,106.22,9.41,57.8,16.1,54.9,1,4,4,0,,
306,34.635,106.15,9.42,54.8,16.1,54.9,1,4,4,0,,
307,34.744,105.01,9.52,55.8,16.1,54.9,1,4,4,0,,
308,34.852,105.34,9.49,53.7,16.1,54.9,1,4,4,0,,
309,34.96,105.36,9.49,56.8,16.1,55.4,2,4,4,0,,
310,35.068,105.2,9.51,53.7,16.0,55.4,2,4,4,0,,
311,35.176,106.9,9.35,60.4,16.0,54.9,1,4,4,0,,
312,35.285,105.96,9.44,57.8,16.0,55.4,1,3,3,0,,
313,35.394,105.22,9.5,57.8,16.0,54.3,1,3,3,0,,
314,35.502,105.39,9.49,54.8,16.0,54.9,2,4,4,1,remote on the left,new_object
315,35.61,104.97,9.53,54.8,16.0,54.9,1,3,3,0,,
316,35.718,105.25,9.5,57.8,16.0,54.9,2,3,3,0,,
317,35.825,105.62,9.47,58.7,16.0,56.5,2,3,3,0,,
318,35.934,105.34,9.49,58.7,16.0,55.4,1,3,3,0,,
319,36.042,105.21,9.51,53.7,16.0,55.4,1,3,3,0,,
320,36.15,106.76,9.37,56.8,16.0,56.5,1,3,3,0,,
321,36.259,106.53,9.39,57.1,16.0,56.0,2,3,3,0,,
322,36.368,105.4,9.49,55.8,16.0,56.0,2,3,3,0,,
323,36.476,105.44,9.48,55.8,16.0,55.4,2,3,3,0,,
324,36.585,105.5,9.48,54.8,16.0,54.9,2,3,3,0,,
325,36.693,105.27,9.5,54.8,16.0,55.4,2,2,2,0,,
326,36.801,113.33,8.82,62.5,16.1,54.9,2,2,2,0,,
327,36.917,106.02,9.43,57.8,16.1,54.9,2,2,2,0,,
328,37.025,105.71,9.46,57.8,16.1,56.0,2,2,2,0,,
329,37.134,107.71,9.28,54.5,16.1,55.4,2,2,2,0,,
330,37.245,105.78,9.45,56.8,16.1,55.4,2,2,2,0,,
331,37.354,106.47,9.39,57.8,16.1,54.9,2,2,2,0,,
332,37.463,106.27,9.41,55.8,16.1,54.9,2,2,2,0,,
333,37.572,105.71,9.46,53.7,16.1,56.5,2,2,2,0,,
334,37.68,105.76,9.45,55.8,16.1,55.4,2,2,2,0,,
335,37.789,107.6,9.29,56.8,16.1,56.0,2,2,2,0,,
336,37.899,105.93,9.44,57.8,16.1,55.4,2,2,2,0,,
337,38.008,105.33,9.49,55.8,16.1,56.0,3,3,3,1,remote on the left,new_object
338,38.116,106.36,9.4,55.8,16.1,56.0,2,3,3,0,,
339,38.225,105.42,9.49,52.5,16.1,55.4,2,3,3,0,,
340,38.333,105.15,9.51,55.8,16.1,54.9,2,3,3,0,,
341,38.441,106.09,9.43,54.8,16.1,56.0,2,3,3,0,,
342,38.549,105.26,9.5,55.8,16.1,56.5,2,3,3,0,,
