frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
262,30.392,108.59,9.21,55.6,16.0,53.8,1,2,"[1, 14]"
263,30.504,108.4,9.23,56.5,16.0,54.3,2,2,"[1, 14]"
264,30.615,118.46,8.44,61.5,16.0,54.9,2,2,"[1, 14]"
265,30.737,108.68,9.2,56.5,16.0,54.3,1,2,"[1, 14]"
266,30.848,108.23,9.24,56.5,16.0,53.8,1,2,"[1, 14]"
267,30.959,107.61,9.29,53.5,16.0,54.9,2,3,"[1, 14, 17]"
268,31.069,108.41,9.22,59.6,16.0,54.9,2,3,"[1, 14, 17]"
269,31.181,107.89,9.27,55.6,16.0,54.3,1,3,"[1, 14, 17]"
270,31.291,109.69,9.12,54.5,16.0,54.3,1,3,"[1, 14, 17]"
271,31.404,108.3,9.23,55.6,16.0,54.9,1,3,"[1, 14, 17]"
272,31.515,108.1,9.25,53.5,16.0,54.3,1,3,"[1, 14, 17]"
273,31.626,111.14,9.0,53.5,16.0,54.3,1,3,"[1, 14, 17]"
274,31.741,108.32,9.23,56.5,16.0,55.4,1,3,"[1, 14, 17]"
275,31.852,108.38,9.23,54.5,16.0,54.3,1,2,"[1, 17]"
276,31.963,107.75,9.28,53.5,16.0,53.8,1,2,"[1, 17]"
277,32.074,107.7,9.28,55.6,16.0,54.3,1,2,"[1, 17]"
278,32.184,107.89,9.27,56.8,16.0,54.3,1,2,"[1, 17]"
279,32.295,108.07,9.25,53.5,16.0,52.7,1,1,[1]
280,32.405,108.6,9.21,57.4,16.0,54.3,1,1,[1]
281,32.517,108.57,9.21,56.5,16.0,54.3,1,1,[1]
282,32.63,108.02,9.26,52.3,16.0,53.8,1,1,[1]
283,32.742,108.04,9.26,54.5,16.0,54.9,1,1,[1]
284,32.854,107.96,9.26,55.6,16.0,54.9,1,1,[1]
285,32.965,108.34,9.23,54.3,16.0,54.9,1,1,[1]
286,33.076,108.21,9.24,56.8,16.0,54.9,1,1,[1]
287,33.187,107.95,9.26,52.4,16.0,54.9,1,1,[1]
288,33.298,108.4,9.23,57.4,16.0,54.3,1,1,[1]
289,33.409,108.27,9.24,53.5,16.0,54.9,1,1,[1]
290,33.52,108.67,9.2,54.5,16.0,54.9,1,1,[1]
291,33.632,109.72,9.11,58.3,16.0,55.4,1,1,[1]
292,33.744,108.49,9.22,57.4,16.0,55.4,1,1,[1]
293,33.856,107.98,9.26,55.6,16.0,55.4,1,1,[1]
294,33.967,108.51,9.22,54.5,16.0,54.9,1,1,[1]
295,34.078,108.34,9.23,54.5,16.0,54.3,1,1,[1]
296,34.189,108.54,9.21,56.5,16.0,54.9,1,1,[1]
