frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
255,28.929,106.16,9.42,53.7,16.1,53.8,1,1,1,0,,
256,29.038,106.03,9.43,59.6,16.1,54.3,1,1,1,0,,
257,29.147,105.47,9.48,53.7,16.1,53.8,0,1,1,0,,
258,29.255,105.63,9.47,53.7,16.1,54.3,0,1,1,0,,
259,29.363,105.56,9.47,54.8,16.1,53.8,1,1,1,0,,
260,29.471,105.74,9.46,56.8,16.0,53.8,1,1,1,0,,
261,29.58,106.69,9.37,55.8,16.0,53.8,1,1,1,0,,
262,29.689,105.93,9.44,54.8,16.0,54.3,0,1,1,0,,
263,29.798,105.26,9.5,53.7,16.0,54.3,1,1,1,0,,
264,29.906,105.99,9.44,57.8,16.0,54.9,1,1,1,0,,
265,30.014,105.28,9.5,59.1,16.0,53.8,1,1,1,0,,
266,30.122,104.92,9.53,55.8,16.0,54.3,0,1,1,0,,
267,30.23,104.89,9.53,51.3,16.0,54.3,1,1,1,0,,
268,30.337,104.69,9.55,55.8,16.0,53.8,0,1,1,0,,
269,30.445,105.21,9.5,55.8,16.0,54.3,0,1,1,0,,
270,30.553,105.71,9.46,55.8,16.0,54.3,1,1,1,0,,
271,30.661,106.15,9.42,58.7,16.0,54.9,0,1,1,0,,
272,30.77,105.32,9.49,56.8,16.0,53.8,0,1,1,0,,
273,30.878,105.91,9.44,58.7,16.0,54.3,1,1,1,0,,
274,30.987,106.04,9.43,55.8,16.0,54.3,1,1,1,0,,
275,31.095,105.41,9.49,58.7,16.0,53.2,1,1,1,0,,
276,31.203,106.89,9.36,58.1,16.0,54.3,1,1,1,0,,
277,31.313,105.38,9.49,52.5,16.0,53.8,0,1,1,0,,
278,31.421,106.16,9.42,55.8,16.0,54.3,1,1,1,0,,
279,31.53,105.87,9.45,57.8,16.0,54.9,1,1,1,0,,
280,31.638,106.62,9.38,58.7,16.0,52.7,1,1,1,0,,
281,31.748,105.76,9.46,55.8,16.0,54.3,1,1,1,0,,
282,31.856,106.13,9.42,54.8,16.0,53.8,1,1,1,0,,
283,31.965,110.58,9.04,64.6,16.1,54.9,1,1,1,0,,
284,32.078,104.86,9.54,56.8,16.1,54.3,0,1,1,0,,
285,32.186,105.11,9.51,54.8,16.1,54.9,1,1,1,0,,
286,32.294,105.56,9.47,55.8,16.1,54.9,1,1,1,0,,
287,32.402,105.58,9.47,56.8,16.1,54.3,1,1,1,0,,
288,32.51,105.11,9.51,56.8,16.1,54.3,1,1,1,0,,
289,32.618,106.98,9.35,54.8,16.1,54.9,1,1,1,0,,
290,32.728,105.6,9.47,55.8,16.1,54.3,1,1,1,0,,
291,32.836,106.8,9.36,56.8,16.1,55.4,1,1,1,0,,
292,32.945,107.09,9.34,56.1,16.1,55.4,0,1,1,0,,
293,33.055,105.75,9.46,55.8,16.1,53.8,1,1,1,0,,
294,33.164,105.69,9.46,56.8,16.1,54.3,1,1,1,0,,
295,33.272,105.03,9.52,55.8,16.1,54.9,0,1,1,0,,
296,33.38,105.28,9.5,54.8,16.1,54.3,0,1,1,0,,
297,33.488,105.33,9.49,57.8,16.1,54.3,1,1,1,0,,
298,33.596,106.53,9.39,55.8,16.1,54.3,1,1,1,0,,
299,33.705,106.17,9.42,53.7,16.1,54.9,1,1,1,0,,
300,33.814,105.23,9.5,55.8,16.1,53.8,1,1,1,0,,
301,33.922,106.23,9.41,57.8,16.1,54.9,1,1,1,0,,
302,34.031,106.39,9.4,57.8,16.1,54.9,1,1,1,0,,
303,34.14,104.18,9.6,52.5,16.1,55.4,0,1,1,0,,
