frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
426,51.174,115.16,8.68,50.0,16.0,56.5,1
427,51.292,114.32,8.75,46.3,16.0,57.1,1
428,51.409,114.01,8.77,50.0,16.0,57.1,1
429,51.526,117.39,8.52,59.6,16.0,56.0,1
430,51.646,114.16,8.76,54.0,16.0,57.1,1
431,51.763,114.98,8.7,51.1,16.0,57.1,2
432,51.881,113.82,8.79,51.1,16.0,56.5,1
433,51.997,113.28,8.83,50.0,16.0,57.1,3
434,52.113,113.92,8.78,51.1,16.0,57.6,2
435,52.23,114.92,8.7,43.9,16.0,57.1,2
436,52.349,113.67,8.8,51.1,16.0,56.0,3
437,52.465,114.05,8.77,50.0,16.0,56.0,2
438,52.582,114.52,8.73,53.1,16.0,57.1,2
439,52.699,113.95,8.78,51.1,16.0,57.6,2
440,52.816,113.68,8.8,51.1,16.0,56.5,2
441,52.932,114.12,8.76,50.0,16.0,57.1,1
442,53.049,114.01,8.77,54.2,16.0,56.0,1
443,53.166,115.1,8.69,51.1,16.0,57.6,1
444,53.284,113.62,8.8,48.9,16.0,56.5,1
445,53.4,113.67,8.8,50.0,16.0,57.6,1
446,53.517,113.75,8.79,48.8,16.0,57.6,1
447,53.633,113.56,8.81,45.2,16.0,57.6,1
448,53.75,113.69,8.8,54.0,16.0,57.1,2
449,53.866,113.61,8.8,53.1,16.0,57.6,1
450,53.982,113.33,8.82,55.1,16.0,57.1,1
451,54.099,114.2,8.76,47.7,16.0,57.6,1
452,54.216,115.28,8.67,54.2,16.0,57.1,1
453,54.334,113.7,8.79,52.1,16.0,56.5,1
454,54.45,113.69,8.8,55.8,16.0,55.4,1
455,54.567,113.72,8.79,45.2,16.0,57.1,1
456,54.683,113.84,8.78,52.2,16.0,56.0,1
457,54.8,113.78,8.79,51.1,16.0,56.5,1
458,54.916,113.48,8.81,47.7,16.0,57.6,1
459,55.032,113.9,8.78,45.2,16.0,57.1,1
460,55.149,114.09,8.77,54.2,16.0,57.6,1
461,55.266,114.2,8.76,48.9,16.0,56.5,1
462,55.384,114.26,8.75,47.7,16.0,57.1,1
463,55.501,113.93,8.78,51.1,16.0,56.5,2
464,55.618,113.87,8.78,53.1,16.0,57.6,1
465,55.734,113.92,8.78,56.9,16.0,57.1,1
466,55.851,114.18,8.76,45.2,16.0,57.6,1
467,55.968,113.77,8.79,51.1,16.0,57.6,1
468,56.084,114.06,8.77,54.2,16.0,57.1,1
469,56.201,114.8,8.71,51.1,16.0,57.1,1
470,56.319,113.83,8.78,43.9,16.0,57.1,1
471,56.436,114.71,8.72,48.9,16.0,57.6,1
472,56.554,119.8,8.35,58.8,16.0,56.5,1
473,56.676,114.06,8.77,52.1,16.0,57.6,1
474,56.793,113.93,8.78,47.7,16.0,57.6,1
475,56.91,113.92,8.78,56.9,16.0,57.1,1
476,57.026,114.27,8.75,48.9,16.0,57.6,1
477,57.143,114.26,8.75,51.1,16.0,57.1,1
478,57.26,114.32,8.75,52.1,16.0,57.1,2
479,57.377,114.31,8.75,55.1,16.0,57.1,1
480,57.494,113.94,8.78,47.7,16.0,57.1,1
481,57.611,115.48,8.66,52.2,16.0,57.1,1
482,57.729,114.36,8.74,54.0,16.0,56.5,1
483,57.847,113.73,8.79,46.5,16.0,57.6,1
484,57.963,114.11,8.76,52.2,16.0,57.6,1
485,58.08,113.91,8.78,46.5,16.0,57.6,1
486,58.197,115.39,8.67,54.9,16.0,57.1,1
487,58.315,112.9,8.86,54.0,16.0,57.1,1
488,58.43,113.85,8.78,53.2,16.0,57.6,1
489,58.547,113.84,8.78,52.1,16.0,57.1,1
490,58.663,113.74,8.79,50.0,16.0,56.0,1
491,58.78,114.27,8.75,53.2,16.0,57.6,1
492,58.897,113.72,8.79,47.7,16.0,57.6,1
