frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
303,1778951916.17,11.61,85.56,58.8,7,"chair,bottle,microwave,bottle,bottle,bottle,chair"
304,1778951916.26,11.65,85.2,51.7,8,"chair,bottle,microwave,bottle,bottle,chair,bottle,bottle"
305,1778951916.34,11.94,83.19,60.0,7,"microwave,chair,bottle,bottle,chair,bottle,bottle"
306,1778951916.43,11.75,84.5,64.1,8,"chair,bottle,microwave,bottle,bottle,chair,bottle,bowl"
307,1778951916.51,11.65,85.21,58.8,6,"chair,microwave,bottle,bottle,bottle,chair"
308,1778951916.6,11.76,84.39,60.6,8,"chair,microwave,bottle,bottle,bottle,chair,bowl,bottle"
309,1778951916.68,11.67,85.11,57.6,8,"chair,bottle,microwave,bottle,bottle,bowl,bottle,chair"
310,1778951916.77,11.78,84.3,56.3,8,"chair,bottle,microwave,bottle,bottle,bottle,bowl,chair"
311,1778951916.85,11.7,84.88,62.2,8,"chair,microwave,bottle,bottle,chair,bottle,bottle,bowl"
312,1778951916.94,11.67,85.04,60.0,7,"chair,bottle,microwave,bottle,bottle,bottle,chair"
313,1778951917.03,11.58,85.74,61.1,8,"chair,microwave,bottle,bottle,bottle,bowl,chair,bottle"
314,1778951917.11,11.57,85.81,56.3,7,"chair,microwave,bottle,bowl,bottle,bottle,chair"
315,1778951917.2,11.75,84.53,59.4,7,"chair,microwave,bottle,bottle,bottle,chair,bowl"
316,1778951917.28,11.66,85.19,56.3,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
317,1778951917.37,11.79,84.25,63.2,8,"chair,bottle,microwave,bottle,bowl,bottle,bottle,chair"
318,1778951917.45,11.7,84.86,57.6,8,"chair,bottle,microwave,bottle,bottle,chair,bottle,bowl"
319,1778951917.54,11.83,83.95,51.7,6,"chair,microwave,bottle,bottle,bottle,bottle"
320,1778951917.62,11.83,83.95,62.9,5,"chair,bottle,microwave,bottle,bottle"
321,1778951917.71,11.73,84.66,61.1,7,"chair,bottle,person,microwave,bottle,bottle,bottle"
322,1778951917.8,11.49,86.37,54.5,7,"chair,microwave,person,bottle,bottle,bottle,bottle"
323,1778951917.88,11.59,85.64,58.8,7,"person,chair,bottle,microwave,bottle,bottle,bottle"
324,1778951917.97,11.72,84.74,64.9,6,"person,chair,bottle,bottle,microwave,bottle"
325,1778951918.06,11.56,85.88,58.8,6,"person,chair,bottle,bottle,bottle,bottle"
326,1778951918.14,11.75,84.47,58.8,6,"person,chair,bottle,bottle,bottle,bottle"
327,1778951918.23,11.68,85.0,57.6,7,"person,chair,bottle,microwave,bottle,bottle,bottle"
328,1778951918.31,11.77,84.33,57.6,8,"person,chair,bottle,microwave,bottle,bottle,chair,bottle"
329,1778951918.4,11.64,85.32,60.0,6,"person,chair,microwave,bottle,bottle,chair"
330,1778951918.48,11.74,84.54,58.1,7,"person,chair,bottle,microwave,bottle,chair,bottle"
331,1778951918.57,11.75,84.49,58.8,6,"person,chair,bottle,chair,bottle,bottle"
332,1778951918.66,11.59,85.71,61.1,4,"person,chair,bottle,bottle"
333,1778951918.74,11.73,84.68,60.0,4,"person,chair,bottle,bottle"
334,1778951918.83,11.67,85.06,56.3,4,"person,chair,bottle,bottle"
335,1778951918.91,11.76,84.42,56.3,3,"person,chair,bottle"
336,1778951919.0,11.53,86.1,63.2,5,"person,chair,bottle,bottle,bottle"
337,1778951919.08,11.75,84.54,61.8,4,"person,chair,bottle,bottle"
338,1778951919.17,11.61,85.51,57.6,4,"person,chair,bottle,bottle"
339,1778951919.26,11.78,84.27,58.8,5,"person,chair,bottle,bottle,chair"
340,1778951919.34,11.7,84.84,62.2,5,"person,chair,bottle,bottle,chair"
341,1778951919.43,11.71,84.79,56.3,5,"person,chair,bottle,bottle,chair"
342,1778951919.51,11.71,84.81,61.1,5,"person,chair,bottle,bottle,chair"
343,1778951919.6,11.8,84.2,58.1,4,"person,chair,bottle,bottle"
344,1778951919.68,11.65,85.25,56.3,4,"person,chair,bottle,bottle"
345,1778951919.77,11.77,84.38,62.2,4,"person,chair,bottle,bottle"
346,1778951919.86,11.68,84.96,57.6,5,"person,chair,bottle,bottle,chair"
347,1778951919.94,11.76,84.48,60.0,4,"person,chair,bottle,bottle"
348,1778951920.03,11.5,86.34,63.2,4,"person,chair,bottle,bottle"
349,1778951920.13,9.65,103.1,65.9,4,"person,chair,bottle,bottle"
350,1778951920.22,11.67,85.1,62.2,4,"person,chair,bottle,bottle"
351,1778951920.3,11.55,85.99,58.8,4,"person,chair,bottle,bottle"
352,1778951920.39,11.5,86.38,58.8,4,"person,chair,bottle,bottle"
353,1778951920.48,11.65,85.21,58.8,4,"person,chair,bottle,bottle"
354,1778951920.56,11.57,85.81,58.8,4,"person,chair,bottle,bottle"
355,1778951920.65,11.7,84.88,62.2,4,"person,chair,bottle,bottle"
356,1778951920.74,11.71,84.78,53.3,5,"person,chair,bottle,bottle,bowl"
357,1778951920.82,11.6,85.63,63.2,4,"person,chair,bottle,bottle"
358,1778951920.91,11.66,85.15,54.8,4,"person,bottle,chair,bottle"
359,1778951921.0,11.43,86.89,62.2,4,"person,bottle,chair,bottle"
360,1778951921.08,11.56,85.92,63.2,3,"person,chair,bottle"
361,1778951921.17,11.66,85.17,58.8,3,"person,bottle,chair"
362,1778951921.25,11.73,84.61,58.8,3,"person,bottle,chair"
363,1778951921.34,11.67,85.1,56.7,3,"chair,bird,bottle"
364,1778951921.43,11.68,85.0,62.2,4,"person,chair,bottle,person"
365,1778951921.51,11.59,85.67,57.6,5,"person,chair,chair,bottle,chair"
366,1778951921.6,11.8,84.16,63.2,5,"person,chair,bottle,chair,chair"
367,1778951921.68,11.63,85.36,58.8,4,"person,chair,microwave,bottle"
368,1778951921.77,11.68,84.98,61.1,5,"person,chair,bottle,microwave,sink"
369,1778951921.86,11.67,85.1,58.8,4,"chair,person,microwave,bottle"
370,1778951921.94,11.57,85.8,60.0,6,"chair,person,microwave,bottle,sink,sink"
371,1778951922.03,11.32,87.77,56.3,4,"person,chair,bottle,sink"
372,1778951922.12,11.62,85.47,56.2,4,"person,chair,bottle,microwave"
373,1778951922.2,11.77,84.42,57.6,3,"person,chair,bottle"
374,1778951922.29,11.59,85.7,54.8,4,"person,chair,bottle,microwave"
375,1778951922.37,11.63,85.41,60.0,5,"person,chair,bottle,bottle,bowl"
376,1778951922.46,11.74,84.54,56.2,4,"person,chair,bottle,bottle"
377,1778951922.55,11.73,84.69,63.2,6,"person,chair,microwave,bottle,bottle,bowl"
378,1778951922.63,11.64,85.26,60.0,7,"person,chair,microwave,bottle,bottle,surfboard,bowl"
379,1778951922.72,11.67,85.05,58.8,5,"person,chair,microwave,bottle,bottle"
380,1778951922.8,11.55,85.93,58.8,8,"person,chair,microwave,bottle,bottle,bottle,surfboard,bowl"
381,1778951922.89,11.74,84.56,60.0,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
382,1778951922.98,11.73,84.68,57.6,6,"person,chair,microwave,bottle,bottle,bowl"
383,1778951923.06,11.41,87.06,60.0,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
384,1778951923.15,11.75,84.49,60.0,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
385,1778951923.23,11.66,85.21,61.1,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
386,1778951923.32,11.76,84.46,58.1,6,"person,chair,microwave,bottle,bottle,bottle"
387,1778951923.41,11.71,84.8,62.2,6,"person,chair,microwave,bottle,bottle,bowl"
388,1778951923.49,11.76,84.44,54.8,5,"person,chair,microwave,bottle,bottle"
389,1778951923.58,11.67,85.08,58.8,7,"person,chair,microwave,bottle,bowl,bottle,bottle"
390,1778951923.66,11.69,84.86,58.8,7,"person,chair,bottle,bowl,microwave,bottle,bottle"
391,1778951923.75,11.73,84.68,54.8,5,"person,chair,microwave,bottle,bottle"
392,1778951923.83,11.72,84.7,61.1,5,"person,chair,microwave,bottle,bowl"
393,1778951923.92,11.61,85.5,58.8,6,"person,chair,microwave,bottle,bowl,bottle"
394,1778951924.01,11.5,86.33,62.2,4,"person,chair,bottle,microwave"
395,1778951924.09,11.58,85.75,56.3,5,"person,chair,bottle,microwave,bottle"
396,1778951924.18,11.6,85.53,57.6,5,"person,chair,bottle,microwave,bottle"
397,1778951924.27,11.68,85.01,63.2,6,"person,chair,bottle,microwave,bottle,bottle"
398,1778951924.35,11.72,84.71,57.6,5,"person,chair,bottle,bowl,bottle"
