frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
229,1778953268.8,11.7,84.83,57.6,1,1,15,microwave,center,0.23,0.0,0
230,1778953268.88,11.67,85.05,56.3,0,0,,,,,,1
231,1778953268.97,11.79,84.19,61.1,0,0,,,,,,1
232,1778953269.06,11.57,85.76,60.0,0,0,,,,,,1
233,1778953269.14,11.67,85.02,63.9,0,0,,,,,,1
234,1778953269.23,11.68,84.99,54.8,0,0,,,,,,1
235,1778953269.31,11.62,85.35,62.2,1,1,15,microwave,center,0.25,0.19,0
236,1778953269.4,11.77,84.36,56.3,0,0,,,,,,1
237,1778953269.49,11.63,85.37,58.8,0,0,,,,,,1
238,1778953269.57,11.47,86.52,58.8,0,0,,,,,,1
239,1778953269.66,11.66,85.14,58.8,0,0,,,,,,1
240,1778953269.74,11.7,84.87,61.1,0,0,,,,,,1
241,1778953269.83,11.65,85.24,57.6,1,1,15,microwave,center,0.26,0.19,0
242,1778953269.92,11.68,85.0,60.0,0,0,,,,,,1
243,1778953270.0,11.43,86.85,56.3,0,0,,,,,,1
244,1778953270.09,11.67,85.04,62.9,0,0,,,,,,1
245,1778953270.18,11.78,84.26,53.3,0,0,,,,,,1
246,1778953270.26,11.73,84.65,58.8,0,0,,,,,,1
247,1778953270.35,11.72,84.74,60.0,0,0,,,,,,1
248,1778953270.43,11.63,85.38,57.6,0,0,,,,,,1
249,1778953270.52,11.7,84.82,58.8,0,0,,,,,,1
250,1778953270.6,11.68,84.96,58.8,0,0,,,,,,1
251,1778953270.69,11.74,84.58,62.2,0,0,,,,,,1
252,1778953270.77,11.79,84.2,57.6,0,0,,,,,,0
253,1778953270.86,11.66,85.14,63.9,0,0,,,,,,0
254,1778953270.95,11.74,84.53,57.6,0,0,,,,,,0
255,1778953271.03,11.66,85.13,60.0,0,0,,,,,,0
256,1778953271.12,11.71,84.79,60.0,0,0,,,,,,0
257,1778953271.2,11.68,85.02,57.6,0,0,,,,,,0
258,1778953271.29,11.68,84.84,62.2,0,0,,,,,,0
259,1778953271.37,11.8,84.13,58.1,0,0,,,,,,0
260,1778953271.46,11.65,85.25,61.1,0,0,,,,,,0
261,1778953271.55,11.76,84.39,57.6,0,0,,,,,,0
262,1778953271.63,11.59,85.62,54.8,0,0,,,,,,0
263,1778953271.72,11.67,85.07,60.0,0,0,,,,,,0
264,1778953271.8,11.73,84.62,53.3,0,0,,,,,,0
265,1778953271.89,11.69,84.93,61.1,0,0,,,,,,0
266,1778953271.98,11.75,84.48,57.6,0,0,,,,,,0
267,1778953272.06,11.53,86.08,62.2,0,0,,,,,,0
268,1778953272.15,11.63,85.33,57.6,0,0,,,,,,0
269,1778953272.23,11.73,84.6,60.0,0,0,,,,,,0
270,1778953272.32,11.75,84.46,59.4,0,0,,,,,,0
271,1778953272.41,11.59,85.64,58.8,0,0,,,,,,0
272,1778953272.49,11.63,85.35,58.8,0,0,,,,,,0
273,1778953272.58,11.67,85.04,62.2,0,0,,,,,,0
274,1778953272.66,11.74,84.57,54.8,0,0,,,,,,0
275,1778953272.75,11.71,84.8,58.8,0,0,,,,,,0
276,1778953272.83,11.8,84.12,60.0,0,0,,,,,,0
277,1778953272.92,11.6,85.62,54.8,1,1,16,microwave,center,0.24,0.0,0
278,1778953273.01,11.71,84.74,62.2,0,0,,,,,,1
279,1778953273.09,11.55,85.93,58.8,0,0,,,,,,1
280,1778953273.18,11.74,84.57,58.8,0,0,,,,,,1
281,1778953273.26,11.8,84.12,59.4,1,1,17,person,right,0.27,0.0,1
282,1778953273.35,11.67,85.08,60.0,2,2,"17,18","person,tv","right,center","0.28,0.23","0.35,0.0",1
283,1778953273.43,11.74,84.53,57.6,1,1,17,person,right,0.28,0.36,2
284,1778953273.52,11.63,85.38,57.6,1,1,17,person,right,0.29,0.36,2
285,1778953273.63,9.51,104.52,61.0,1,1,17,person,right,0.29,0.36,2
286,1778953273.71,11.6,85.57,58.8,1,1,17,person,right,0.29,0.37,2
287,1778953273.8,11.66,85.14,57.6,1,1,17,person,right,0.3,0.37,2
