frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
245,1778953093.66,11.67,85.04,62.2,1,1,1,person,center,0.86,0.63,0
246,1778953093.75,11.65,85.19,54.8,1,1,1,person,center,0.86,0.63,0
247,1778953093.83,11.72,84.71,61.1,1,1,1,person,center,0.86,0.63,0
248,1778953093.92,11.55,85.87,58.8,1,1,1,person,center,0.86,0.63,0
249,1778953094.01,11.59,85.68,63.9,1,1,1,person,center,0.86,0.63,0
250,1778953094.09,11.65,85.14,60.0,1,1,1,person,center,0.86,0.63,0
251,1778953094.18,11.62,85.42,57.6,1,1,1,person,center,0.86,0.63,0
252,1778953094.26,11.73,84.55,61.1,1,1,1,person,center,0.86,0.63,0
253,1778953094.35,11.45,86.73,60.0,1,1,1,person,center,0.86,0.63,0
254,1778953094.44,11.65,85.18,60.0,1,1,1,person,center,0.86,0.63,0
255,1778953094.52,11.76,84.37,58.1,1,1,1,person,center,0.86,0.63,0
256,1778953094.61,11.71,84.75,61.1,1,1,1,person,center,0.86,0.63,0
257,1778953094.7,11.58,85.7,58.8,1,1,1,person,center,0.86,0.63,0
258,1778953094.78,11.71,84.76,62.2,1,1,1,person,center,0.86,0.63,0
259,1778953094.87,11.64,85.26,58.8,1,1,1,person,center,0.86,0.63,0
260,1778953094.95,11.71,84.68,63.2,1,1,1,person,center,0.86,0.63,0
261,1778953095.04,11.45,86.72,61.1,1,1,1,person,center,0.86,0.63,0
262,1778953095.13,11.56,85.8,61.1,1,1,1,person,center,0.86,0.63,0
263,1778953095.21,11.62,85.44,61.1,1,1,1,person,center,0.86,0.63,0
264,1778953095.3,11.68,84.97,56.7,1,1,1,person,center,0.86,0.63,0
265,1778953095.39,11.71,84.79,62.2,1,1,1,person,center,0.86,0.63,0
266,1778953095.47,11.66,85.1,56.3,1,1,1,person,center,0.86,0.63,0
267,1778953095.56,11.68,84.99,61.1,1,1,1,person,center,0.86,0.63,0
268,1778953095.64,11.59,85.46,56.2,1,1,1,person,center,0.86,0.63,0
269,1778953095.73,11.67,85.02,63.9,1,1,1,person,center,0.86,0.63,0
270,1778953095.82,11.66,85.06,57.6,1,1,1,person,center,0.86,0.63,0
