frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
272,1778953527.78,11.63,85.27,57.6,1,1,7,microwave,right,0.3,0.21,0
273,1778953527.86,11.74,84.43,60.0,0,0,,,,,,1
274,1778953527.95,11.71,84.62,58.8,0,0,,,,,,1
275,1778953528.03,11.4,87.03,61.1,0,0,,,,,,1
276,1778953528.12,11.5,86.23,61.1,0,0,,,,,,1
277,1778953528.21,11.74,84.49,54.8,1,1,7,microwave,right,0.3,0.21,0
278,1778953528.29,11.69,84.84,61.1,1,1,7,microwave,right,0.3,0.21,0
279,1778953528.38,11.66,85.05,56.3,1,1,7,microwave,right,0.3,0.21,0
280,1778953528.47,11.66,85.08,60.0,1,1,7,microwave,right,0.3,0.21,0
281,1778953528.55,11.85,83.65,58.1,1,1,7,microwave,right,0.3,0.21,0
282,1778953528.64,11.74,84.44,57.6,0,0,,,,,,1
283,1778953528.72,11.67,84.96,60.0,1,1,7,microwave,right,0.29,0.21,0
284,1778953528.81,11.71,84.64,57.6,0,0,,,,,,1
285,1778953528.89,11.71,84.68,62.2,1,1,7,microwave,right,0.3,0.21,0
286,1778953528.98,11.73,84.52,61.8,0,0,,,,,,1
287,1778953529.07,11.46,86.57,54.5,1,1,7,microwave,right,0.29,0.21,0
288,1778953529.16,10.56,93.96,63.9,1,1,7,microwave,right,0.3,0.21,0
289,1778953529.25,11.59,85.57,56.3,1,1,7,microwave,right,0.3,0.21,0
290,1778953529.33,11.58,85.66,60.0,1,1,7,microwave,right,0.29,0.21,0
291,1778953529.42,11.7,84.79,58.8,0,0,,,,,,1
292,1778953529.51,11.51,86.15,59.5,1,1,7,microwave,right,0.3,0.21,0
293,1778953529.59,11.71,84.72,54.8,0,0,,,,,,1
294,1778953529.68,11.53,86.01,58.8,1,1,7,microwave,right,0.29,0.21,0
295,1778953529.77,11.52,86.09,62.2,1,1,7,microwave,right,0.3,0.21,0
296,1778953529.85,11.68,84.95,56.2,0,0,,,,,,1
297,1778953529.94,11.62,85.37,60.0,0,0,,,,,,1
298,1778953530.03,11.29,87.74,53.1,1,1,7,microwave,right,0.3,0.21,0
299,1778953530.11,11.45,86.67,61.1,1,1,7,microwave,right,0.3,0.21,0
300,1778953530.2,11.44,86.6,63.2,1,1,7,microwave,right,0.3,0.21,0
301,1778953530.29,11.79,84.15,54.8,0,0,,,,,,1
302,1778953530.37,11.57,85.74,61.1,1,1,7,microwave,right,0.29,0.21,0
303,1778953530.46,11.64,85.18,58.8,1,1,7,microwave,right,0.3,0.21,0
